선수명,포지션,팀,홈런,타점,도루,볼넷,삼진,타율,장타율,출루율
이병규,우익수,LG,5,74,2,22,40,0.348,0.455,0.384
손아섭,우익수,롯데,11,69,36,64,88,0.345,0.474,0.421
이진영,우익수,LG,3,62,6,37,42,0.329,0.429,0.39
박용택,중견수,LG,7,67,13,52,71,0.328,0.435,0.393
김태균,1루수,한화,10,52,0,73,67,0.319,0.475,0.444
민병헌,우익수,두산,9,65,27,40,62,0.319,0.48,0.387
박석민,3루수,삼성,18,76,4,54,73,0.318,0.515,0.425
박병호,1루수,넥센,37,117,10,92,96,0.318,0.602,0.437
최정,3루수,SK,28,83,24,64,109,0.316,0.551,0.429
정성훈,3루수,LG,9,62,13,59,58,0.312,0.437,0.405
신종길,우익수,KIA,4,50,29,30,86,0.31,0.427,0.365
이종욱,중견수,두산,6,52,30,38,57,0.307,0.439,0.369
최형우,좌익수,삼성,29,98,2,47,91,0.305,0.53,0.366
김현수,좌익수,두산,16,90,2,62,71,0.302,0.47,0.382
김강민,중견수,SK,10,55,10,36,54,0.301,0.466,0.37
최진행,좌익수,한화,8,53,0,50,86,0.3,0.439,0.387
홍성흔,1루수,두산,15,72,5,57,93,0.299,0.439,0.379
김상수,유격수,삼성,7,44,14,30,44,0.298,0.417,0.354
배영섭,중견수,삼성,2,38,23,52,62,0.295,0.372,0.402
이용규,중견수,KIA,2,22,21,44,37,0.295,0.367,0.375
박정권,1루수,SK,18,70,4,64,79,0.292,0.501,0.394
강정호,유격수,넥센,22,96,15,68,109,0.291,0.489,0.387
나지완,좌익수,KIA,21,96,7,62,111,0.287,0.474,0.394
이택근,중견수,넥센,9,66,29,39,58,0.287,0.413,0.345
정현석,우익수,한화,4,27,4,37,64,0.287,0.368,0.365
박한이,우익수,삼성,6,55,4,51,74,0.284,0.376,0.366
김민성,3루수,넥센,15,72,7,42,84,0.282,0.441,0.36
조영훈,1루수,NC,6,39,4,39,56,0.282,0.413,0.35
정근우,2루수,SK,9,35,28,50,48,0.28,0.408,0.368
이호준,1루수,NC,20,87,2,60,109,0.278,0.475,0.362
김종호,우익수,NC,0,22,50,57,100,0.277,0.333,0.376
모창민,3루수,NC,12,51,16,37,68,0.276,0.443,0.339
전준우,중견수,롯데,7,66,19,65,77,0.275,0.38,0.367
황재균,3루수,롯데,7,56,22,49,78,0.274,0.389,0.35
정의윤,좌익수,LG,5,47,5,26,45,0.272,0.381,0.332
손주인,2루수,LG,3,41,9,40,63,0.265,0.356,0.345
정훈,2루수,롯데,5,37,7,30,54,0.258,0.364,0.328
이대수,유격수,한화,4,42,11,38,88,0.256,0.356,0.33
오지환,유격수,LG,9,47,30,54,113,0.256,0.399,0.347
조동화,우익수,SK,0,19,24,46,76,0.256,0.307,0.357
박종윤,1루수,롯데,7,58,4,21,56,0.255,0.383,0.298
이승엽,1루수,삼성,13,69,3,30,94,0.253,0.395,0.298
안치홍,2루수,KIA,3,39,16,52,74,0.249,0.307,0.338
이범호,3루수,KIA,24,73,0,62,79,0.248,0.452,0.35
나성범,중견수,NC,14,64,12,33,95,0.243,0.416,0.319
장기영,좌익수,넥센,2,30,20,35,63,0.242,0.314,0.307
강민호,포수,롯데,11,57,4,60,87,0.235,0.376,0.366
권희동,우익수,NC,15,54,4,36,75,0.203,0.393,0.279
