"","YM","CATEGORY","ITEM_CNT","QTY","PRICE","MAXTEMP","SALEDAY","RAIN_DAY","HOLIDAY"
"1",200901,"건강음료",37,1410,1543,4,126753,151,12
"2",200902,"건강음료",37,1209,1543,9,113399,3014,8
"3",200903,"건강음료",38,1348,1547,12,129162,1383,9
"4",200904,"건강음료",38,1377,1500,19,126277,3564,8
"5",200905,"건강음료",40,1406,1528,25,129584,9288,12
"6",200906,"건강음료",39,1343,1623,27,123218,9998,8
"7",200907,"건강음료",38,1313,1600,28,131083,17405,8
"8",200908,"건강음료",39,1448,1577,29,130040,7704,10
"9",200909,"건강음료",41,1531,1559,27,131989,4096,8
"10",200910,"건강음료",43,1670,1586,22,136095,2824,10
"11",200911,"건강음료",44,1572,1573,12,136152,3684,9
"12",200912,"건강음료",46,1595,1789,5,137391,216,9
"13",201001,"건강음료",45,1432,1796,2,141145,792,11
"14",201002,"건강음료",45,1287,1796,7,128528,4384,9
"15",201003,"건강음료",45,1430,1796,10,145771,2940,9
"16",201004,"건강음료",45,1503,1796,15,130412,5973,8
"17",201005,"건강음료",44,1526,1877,23,143681,8656,12
"18",201006,"건강음료",40,1409,1940,28,145035,6325,8
"19",201007,"건강음료",40,1380,1940,29,148561,14930,9
"20",201008,"건강음료",40,1372,1940,31,153056,30531,9
"21",201009,"건강음료",41,1519,1971,27,147804,23150,11
"22",201010,"건강음료",41,2052,1988,20,155952,1337,10
"23",201011,"건강음료",41,1655,1988,13,154482,0,8
"24",201012,"건강음료",41,1762,1988,5,161292,886,8
"25",201101,"건강음료",42,1626,1957,-1,163610,82,10
"26",201102,"건강음료",41,1496,1988,7,149737,5587,11
"27",201103,"건강음료",41,1678,1988,10,169838,919,9
"28",201104,"건강음료",41,1653,1988,17,167577,8244,9
"29",201105,"건강음료",38,1654,2051,23,176452,7345,10
"30",201106,"건강음료",37,1580,2012,27,173664,25001,9
"31",201107,"건강음료",37,1553,2012,29,182676,43058,10
"32",201108,"건강음료",37,1799,2012,29,186850,20554,9
"33",201109,"건강음료",36,1773,2026,26,184270,5373,10
"34",201110,"건강음료",33,1914,2026,20,194286,4146,11
"35",201111,"건강음료",31,1907,2156,16,191703,10027,8
"36",201112,"건강음료",30,1975,2112,5,201541,489,9
"37",201201,"건강음료",30,1701,2112,3,203133,362,11
"38",201202,"건강음료",31,1607,2182,5,186880,377,8
"39",201203,"건강음료",31,1578,2182,11,212945,6556,10
"40",201204,"건강음료",42,1541,10944,18,209151,17042,9
